"Index Name","Date","Open","High","Low","Close"
"NIFTY500 VALUE 50","10 Aug 2023","-","-","-","8414.08"
"NIFTY500 VALUE 50","09 Aug 2023","-","-","-","8433.81"
"NIFTY500 VALUE 50","08 Aug 2023","-","-","-","8365.69"
"NIFTY500 VALUE 50","07 Aug 2023","-","-","-","8347.04"
"NIFTY500 VALUE 50","04 Aug 2023","-","-","-","8299.70"
"NIFTY500 VALUE 50","03 Aug 2023","-","-","-","8306.32"
"NIFTY500 VALUE 50","02 Aug 2023","-","-","-","8333.60"
"NIFTY500 VALUE 50","01 Aug 2023","-","-","-","8509.19"
"NIFTY500 VALUE 50","31 Jul 2023","-","-","-","8502.20"
"NIFTY500 VALUE 50","28 Jul 2023","-","-","-","8378.01"
"NIFTY500 VALUE 50","27 Jul 2023","-","-","-","8324.78"
"NIFTY500 VALUE 50","26 Jul 2023","-","-","-","8300.69"
"NIFTY500 VALUE 50","25 Jul 2023","-","-","-","8239.51"
"NIFTY500 VALUE 50","24 Jul 2023","-","-","-","8182.93"
"NIFTY500 VALUE 50","21 Jul 2023","-","-","-","8138.15"
"NIFTY500 VALUE 50","20 Jul 2023","-","-","-","8139.88"
"NIFTY500 VALUE 50","19 Jul 2023","-","-","-","8106.55"
"NIFTY500 VALUE 50","18 Jul 2023","-","-","-","8039.92"
"NIFTY500 VALUE 50","17 Jul 2023","-","-","-","8090.59"
"NIFTY500 VALUE 50","14 Jul 2023","-","-","-","8053.77"
"NIFTY500 VALUE 50","13 Jul 2023","-","-","-","7976.39"
"NIFTY500 VALUE 50","12 Jul 2023","-","-","-","8079.30"
"NIFTY500 VALUE 50","11 Jul 2023","-","-","-","8067.69"
"NIFTY500 VALUE 50","10 Jul 2023","-","-","-","8032.82"
"NIFTY500 VALUE 50","07 Jul 2023","-","-","-","8043.34"
"NIFTY500 VALUE 50","06 Jul 2023","-","-","-","8082.91"
"NIFTY500 VALUE 50","05 Jul 2023","-","-","-","7987.65"
"NIFTY500 VALUE 50","04 Jul 2023","-","-","-","7916.92"
"NIFTY500 VALUE 50","03 Jul 2023","-","-","-","7918.07"
"NIFTY500 VALUE 50","30 Jun 2023","-","-","-","7794.73"
"NIFTY500 VALUE 50","28 Jun 2023","-","-","-","7742.63"
"NIFTY500 VALUE 50","27 Jun 2023","-","-","-","7680.87"
"NIFTY500 VALUE 50","26 Jun 2023","-","-","-","7630.02"
"NIFTY500 VALUE 50","23 Jun 2023","-","-","-","7613.90"
"NIFTY500 VALUE 50","22 Jun 2023","-","-","-","7723.74"
"NIFTY500 VALUE 50","21 Jun 2023","-","-","-","7797.50"
"NIFTY500 VALUE 50","20 Jun 2023","-","-","-","7732.14"
"NIFTY500 VALUE 50","19 Jun 2023","-","-","-","7669.78"
"NIFTY500 VALUE 50","16 Jun 2023","-","-","-","7681.17"
"NIFTY500 VALUE 50","15 Jun 2023","-","-","-","7643.21"
"NIFTY500 VALUE 50","14 Jun 2023","-","-","-","7658.58"
"NIFTY500 VALUE 50","13 Jun 2023","-","-","-","7616.90"
"NIFTY500 VALUE 50","12 Jun 2023","-","-","-","7587.27"
"NIFTY500 VALUE 50","09 Jun 2023","-","-","-","7500.77"
"NIFTY500 VALUE 50","08 Jun 2023","-","-","-","7518.14"
"NIFTY500 VALUE 50","07 Jun 2023","-","-","-","7552.19"
"NIFTY500 VALUE 50","06 Jun 2023","-","-","-","7476.75"
"NIFTY500 VALUE 50","05 Jun 2023","-","-","-","7467.94"
"NIFTY500 VALUE 50","02 Jun 2023","-","-","-","7454.66"
"NIFTY500 VALUE 50","01 Jun 2023","-","-","-","7389.96"
"NIFTY500 VALUE 50","31 May 2023","-","-","-","7389.13"
"NIFTY500 VALUE 50","30 May 2023","-","-","-","7421.95"
"NIFTY500 VALUE 50","29 May 2023","-","-","-","7400.28"
"NIFTY500 VALUE 50","26 May 2023","-","-","-","7359.95"
"NIFTY500 VALUE 50","25 May 2023","-","-","-","7329.83"
"NIFTY500 VALUE 50","24 May 2023","-","-","-","7318.52"
"NIFTY500 VALUE 50","23 May 2023","-","-","-","7327.37"
"NIFTY500 VALUE 50","22 May 2023","-","-","-","7293.23"
"NIFTY500 VALUE 50","19 May 2023","-","-","-","7275.64"
"NIFTY500 VALUE 50","18 May 2023","-","-","-","7284.20"
"NIFTY500 VALUE 50","17 May 2023","-","-","-","7364.98"
"NIFTY500 VALUE 50","16 May 2023","-","-","-","7393.14"
"NIFTY500 VALUE 50","15 May 2023","-","-","-","7369.21"
"NIFTY500 VALUE 50","12 May 2023","-","-","-","7308.55"
"NIFTY500 VALUE 50","11 May 2023","-","-","-","7395.42"
"NIFTY500 VALUE 50","10 May 2023","-","-","-","7395.87"
"NIFTY500 VALUE 50","09 May 2023","-","-","-","7365.71"
"NIFTY500 VALUE 50","08 May 2023","-","-","-","7415.39"
"NIFTY500 VALUE 50","05 May 2023","-","-","-","7354.37"
